"day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
5,2013,6,7,"2013-06-07",56.1,53.2,1016.3,7.7,11.8,18.1,26,59,54,0,0,1.88822405424114
5,2020,12,4,"2020-12-04",53.6,43.8,1019.2,10,13.1,18.1,25.1,59,36,0,0,-1.77750274387127
1,2014,10,20,"2014-10-20",49,32.4,1016.2,10,11.8,18.1,27,59,41,0,0,0.138473792612306
7,2014,4,20,"2014-04-20",44.2,31.2,1030.4,10,9.2,18.1,21,59,34,0,0,-1.59377896640024
6,2016,4,2,"2016-04-02",50.4,47.7,1000,5,8.5,18.1,25.1,59,46,0.79,1,0.190966300461171
3,2019,5,8,"2019-05-08",53,44.6,1022.2,10,9.2,18.1,22,59,37,0.01,0,0.645901368484668
5,2014,10,3,"2014-10-03",58.5,54,1016.5,9.2,13.1,18.1,24.1,61,57,0.01,0,1.25831396005476
4,2018,11,8,"2018-11-08",52.1,38.7,1020.3,9.9,11.1,18.1,22,61,44.1,0,0,0.488423844938073
4,2019,10,3,"2019-10-03",55.3,47.3,1019.7,10,12.5,18.1,24.1,61,53.1,0.09,0,1.00460017211858
2,2016,5,17,"2016-05-17",55,44.5,1019.8,10,11.9,18.1,24.1,63,46,0,0,0.427182585781063
1,2019,6,3,"2019-06-03",60.4,51,1009.4,9.1,11,18.1,22.9,66,54,0,0,0.733388881566109
2,2017,11,7,"2017-11-07",53,46.7,1019.6,9.8,12.5,18.1,25.1,66,48,0.05,0,1.17957519828146
5,2012,10,19,"2012-10-19",63.2,61.1,1010.9,6.1,5.2,18.1,23.9,66,55,0.25,1,1.4245402349095
2,2019,6,4,"2019-06-04",58.5,45.3,1016.7,10,12.6,18.1,24.1,66,51.1,0,0,0.348443824007766
5,2014,6,13,"2014-06-13",61.7,58.6,1013.7,4,14.4,18.1,24.1,66,59,0.02,1,1.16207769566517
6,2015,10,17,"2015-10-17",52.7,39.6,1015.4,10,8.2,18.1,22.9,66,41,0.07,0,-0.0889937413994421
7,2013,6,2,"2013-06-02",61.8,58.6,1013.6,4.6,12.6,18.1,26,66,57.9,0,1,-0.771396343434687
5,2016,10,21,"2016-10-21",64.6,62.1,1010.7,6,12.9,18.1,24.1,70,52,0.01,1,2.41314913272979
2,2017,7,25,"2017-07-25",62.8,59.4,1015.6,9.5,13.8,18.1,24.1,70,57.9,0.25,0,0.173468797844883
7,2019,6,16,"2019-06-16",62.8,58.9,1014.2,9.3,13.2,18.1,24.1,70,57.9,0,0,-0.578923814655515
5,2020,10,2,"2020-10-02",64.8,59,1013.1,8.7,8.5,18.1,24.1,70,59,0,1,-1.96997527265044
4,2015,10,22,"2015-10-22",60.5,55.7,1022.9,8.8,9.7,18.1,24.1,70,52,0,1,0.794630140723118
4,2019,8,29,"2019-08-29",71,68.2,1009.4,6.3,9.5,18.1,22.9,75,59,99.99,0,0.14722254392045
4,2016,7,14,"2016-07-14",69.1,65.9,1016,9.3,10.9,18.1,22,75,64,0,0,1.45078648883393
1,2017,7,24,"2017-07-24",63,58,1011.8,7.5,10.9,18.1,25.1,75,57.9,0,0,0.392187580548487
3,2017,9,6,"2017-09-06",69.6,68.6,1013.2,6,13.6,18.1,28.9,75,64.9,0,0,0.287202564850757
5,2016,8,12,"2016-08-12",74.3,72.2,1012.8,4.5,12.3,18.1,24.1,79,71.1,0,1,1.3458014731362
3,2015,6,24,"2015-06-24",70.8,62.5,1011.9,8.2,9.4,18.1,28,79,59,0.21,1,1.77449028723526
5,2019,1,4,"2019-01-04",39,30.2,1014.4,9.8,9.9,18.1,26,46.9,30.9,0.01,0,0.199715051769315
4,2015,3,26,"2015-03-26",42.6,39.7,1016.9,4.2,12.8,18.1,27,46.9,27,0.02,1,-0.438943793725209
1,2014,2,24,"2014-02-24",37.5,25.8,1008.3,9.7,10.3,18.1,28.9,46.9,30.9,0.09,0,-0.0539987361668655
3,2018,2,21,"2018-02-21",45.9,45.9,1026.2,0.2,13.3,18.1,0,48.9,44.1,0.02,1,0.225961305693748
4,2018,2,22,"2018-02-22",43.1,38.6,1033.5,8.3,13.8,18.1,22.9,48.9,35.1,0.03,1,-0.220225011021605
